"b1_est","b1_p","b3_est","b3_p"
0.27279063187026,1.45439216225896e-13,0.138773103899382,0.000675565016184487
0.320669751642735,0,0.136098324652327,0.000917377724222623
0.303269178877206,2.22044604925031e-16,0.0946642183885351,0.0204403523845791
0.293163944268833,3.10862446895044e-15,0.0862584388752405,0.0384020793724364
0.279560382387439,1.90292226420752e-13,0.0923481555476722,0.0208311542808921
0.285159874460767,1.17683640610267e-14,0.10502161306889,0.0107221094655072
0.318246581833782,0,0.105545277678018,0.00937484030995828
0.283589185271867,6.21724893790088e-15,0.0879199380090204,0.0323930402681252
0.303140011982059,4.44089209850063e-16,0.0861618842292124,0.037726550830931
0.31812850197343,0,0.0850812611161702,0.0392952781823435
0.327243788904581,0,0.0901308194677429,0.033460944531913
0.261037661657293,6.83209044893829e-12,0.100021201507736,0.0170260168209901
0.311356876571008,0,0.080320967199536,0.0440190946868777
0.287028000235645,1.15463194561016e-14,0.0843875776520392,0.0411602804543092
0.275915415935741,4.40092406961412e-13,0.0428773553587229,0.284634595569336
0.362213633267731,0,0.107614055462779,0.00728008193653351
0.351525791551668,0,0.0800300529149861,0.0685492275580892
0.286395734879861,1.04360964314765e-14,0.0973173986289082,0.018727099069823
0.295946681526053,7.7715611723761e-15,0.0565864981152373,0.164030907534399
0.281480629599654,6.32827124036339e-14,0.101542521684049,0.0109317308506747
0.318133728594831,0,0.0613455066842744,0.135054202020521
0.282708798991401,7.90478793533111e-14,0.0611122786752084,0.13628180119026
0.264311151638552,1.78257408833815e-12,0.0819954329412309,0.053152056754215
0.339737670557015,0,0.10002100263269,0.0137976674566234
0.305855649477294,0,0.0826002545155312,0.0453375022062346
0.27128017862087,4.49196235763338e-13,0.0743466637601147,0.0741917843266158
0.316819721029197,0,0.102822118306635,0.0112546633419988
0.257265684968751,8.37796498842636e-12,0.029000312614139,0.490765976982775
0.303699708809142,1.11022302462516e-15,0.0754183887579171,0.0705914402338079
0.313605954969362,0,0.074614711668841,0.0733975384204599
0.360009082139116,0,0.0611158606122665,0.140801344666584
0.301826982477247,1.55431223447522e-15,0.0672501296422667,0.10385884707353
0.272179988876336,1.59428026336172e-13,0.066674340253617,0.104271208189656
0.316197331920968,0,0.0808019695114051,0.0521850884182109
0.305006111002723,0,0.0746884273529613,0.072252487606689
0.305200617863798,4.44089209850063e-16,0.0498654863360208,0.231424702933063
0.264684551451414,2.87858625824811e-12,0.116668521424016,0.00489260545994652
0.285977075767635,1.22790666523542e-13,0.0733096490165834,0.0777945896160446
0.309434249517256,0,0.0863100636235545,0.0355556123470842
0.306511903178608,2.22044604925031e-16,0.114433006611098,0.00491776247529274
0.27354948505022,2.90878432451791e-13,0.0891189376127703,0.0320317858921186
0.304667389127945,3.33066907387547e-15,0.0928296853311685,0.0216741139866035
0.327137807199778,0,0.0900485473023218,0.0304939175916095
0.272867666347105,1.02784447619797e-12,0.117888199645448,0.00337565182968547
0.236983127546663,2.76212164251888e-10,0.0623685107503951,0.135571238234215
0.295542122717637,8.43769498715119e-15,0.0583118122240635,0.167110265912679
0.311268913901243,0,0.076137455132247,0.0604159197767715
0.276913004977684,2.1138646388863e-13,0.0931895278773148,0.0254993119677218
0.28108765086756,9.68114477473137e-14,0.110855007386487,0.0073971855096
0.270045501370716,1.43485223702555e-12,0.064883190737571,0.114254827756265
0.309955715417717,2.22044604925031e-16,0.047564757067782,0.269967422199036
0.301448316686997,0,0.0831106766729178,0.0408876731421015
0.35277603548493,0,0.0759959149803959,0.0643521651822496
0.301512283582765,2.22044604925031e-16,0.0706060976801786,0.0873379732879855
0.332452101147036,0,0.0623562399218448,0.126560128432226
0.25381828734776,1.25606192113992e-11,0.0809976957410022,0.0546789568778037
0.304216863026462,8.88178419700125e-16,0.0875213132524267,0.0414699533357787
0.304083609130259,0,0.128079907576634,0.00187453975672702
0.282858033669953,6.08402217494586e-14,0.0857443346152594,0.0355593565533945
0.261812518808971,2.4606983117792e-12,0.0843714629269274,0.0400234190582727
0.303882369860005,4.44089209850063e-16,0.0877417676858736,0.0352255593088482
0.315899551498132,0,0.100254720974777,0.0125133352947244
0.27217139965216,4.13002965160558e-13,0.0652994378388057,0.106303139846226
0.251215021565815,4.08264533291458e-11,0.0719507035068075,0.0827993980098218
0.280238712334691,3.5527136788005e-14,0.0613736977020783,0.138971304621737
0.273422534076137,2.8110846983509e-13,0.0953493296092957,0.0173324050100194
0.252970201628203,2.70885536224341e-11,0.0882062666948454,0.0279190346728648
0.302722145378125,0,0.098395724804215,0.0149885020256582
0.267686303153294,1.4344081478157e-12,0.0917139065677115,0.0293360805692213
0.256720509822487,2.04343209020408e-11,0.103179672292612,0.0147607564299572
0.226889910522588,5.9121425532993e-09,0.0991086895243194,0.0166217554013772
0.312678119160886,0,0.0792710774199582,0.0610399595117797
0.325974225503856,0,0.0724503309074589,0.0858329347420992
0.272427971037216,3.53272966435725e-13,0.097501937700106,0.0173761953286937
0.264657644344698,1.74327219326642e-12,0.09761040201864,0.0193151818396176
0.324279776159436,0,0.101294679132003,0.0178258741337285
0.241181117334916,1.86407334012983e-10,0.101313044242057,0.0152541530309471
0.283532634989406,7.88258347483861e-14,0.113484190226744,0.00590125105012107
0.305308296404887,0,0.0588930664524451,0.161510571734762
0.28981704686438,6.66133814775094e-15,0.0981797715409397,0.0170964764122539
0.298918544125348,1.33226762955019e-15,0.0382504704546008,0.347884811215408
0.269864885796085,4.36095604072761e-13,0.0659952373724435,0.11260506675103
0.306521523986049,2.22044604925031e-16,0.080542208203859,0.0544964918472084
0.291962821040693,1.77635683940025e-15,0.0652342739041361,0.116018211122372
0.249041019938289,3.47277762102749e-11,0.0693868886486299,0.0839679628807133
0.277870924036663,4.86277684785819e-14,0.0791036883100649,0.0543368402643705
